pid,gender,ibirthy,age_range,qg11_2014,qg11_2016,qg11_2018,qg11_2020,qg11_2022
430276104,1,1977,37-45,NA,NA,NA,20000,30000
430529103,1,1971,43-51,NA,NA,5000,5000,NA
430712106,0,1980,34-42,7800,NA,7000,NA,10000
430345431,0,1986,28-36,NA,NA,1500,NA,2000
430523106,0,1984,30-38,NA,2000,NA,1667,1600
430599101,1,1968,46-54,NA,4000,NA,4000,5000
430548104,0,1992,22-30,NA,2500,3200,4500,5500
430548102,1,1960,54-62,3300,NA,4000,NA,6000
430487103,1,1991,23-31,3000,NA,NA,6000,8000
430473105,0,1992,22-30,NA,NA,3000,7500,10000
441519105,0,1991,23-31,2780,100,4300,NA,NA
441937104,1,1991,23-31,NA,NA,3000,NA,5000
441966102,1,1979,35-43,6000,11000,14500,14000,16000
441959103,1,1986,28-36,0,NA,4000,NA,NA
441974104,1,1986,28-36,2400,0,NA,3500,4000
441966101,0,1980,34-42,0,NA,2000,1800,2000
441870103,1,1990,24-32,NA,NA,NA,5000,8000
441887103,1,1989,25-33,4000,NA,7500,12000,8000
441973103,1,1990,24-32,NA,3500,NA,7000,3600
441971105,0,1991,23-31,NA,NA,3000,2500,2500
441645103,0,1996,18-26,NA,NA,NA,4000,4100
440580103,1,1991,23-31,3300,NA,78,4500,4000
441260104,1,1986,28-36,4000,NA,5000,5500,5000
440519105,1,1992,22-30,NA,4000,5000,5500,6500
440425103,1,1979,35-43,6500,NA,8200,10000,9000
440425105,0,1982,32-40,1200,NA,2400,2000,3500
440969103,1,1995,19-27,NA,NA,5900,6000,6000
441652102,0,1965,49-57,1600,NA,NA,500,NA
441686103,1,1980,34-42,3300,NA,4500,4800,6000
441631103,1,1988,26-34,5000,10000,NA,13000,18000
441686108,0,1991,23-31,NA,NA,3000,6500,NA
440364103,1,1996,18-26,NA,NA,3000,5000,10000
440319104,1,1988,26-34,NA,NA,8500,8000,12000
440363103,0,1987,27-35,5500,NA,6000,8000,9000
440319103,1,1986,28-36,NA,3500,NA,5600,NA
440363104,1,1989,25-33,NA,4200,4500,4800,6000
440346104,1,1986,28-36,4000,7000,7000,7000,10000
440285102,0,1977,37-45,2000,NA,4200,4500,5000
440346103,1,1960,54-62,1800,1800,2200,2400,2000
440186103,1,1994,20-28,NA,NA,10000,15000,20000
450093102,1,1967,47-55,3000,NA,4000,5000,5000
450098101,1,1980,34-42,2800,NA,4500,NA,5000
450111102,1,1991,23-31,NA,NA,8000,6500,6000
450093103,1,1993,21-29,NA,NA,NA,5000,5000
450164103,1,1998,16-24,NA,NA,4000,2600,3600
450156102,1,1967,47-55,NA,NA,3200,2200,NA
450022103,1,1997,17-25,NA,2400,2500,4700,5000
450340103,1,1976,38-46,5000,NA,4000,2100,NA
450206110,0,1981,33-41,3600,4200,4000,6000,5500
450206103,1,1981,33-41,3900,5200,6000,6500,6500
450140104,1,1994,20-28,NA,NA,4000,5000,6000
450234104,1,1970,44-52,2000,1800,2000,2500,3500
450319104,0,1995,19-27,800,NA,NA,2500,NA
450116104,0,1996,18-26,NA,NA,NA,4000,5000
450224103,1,1973,41-49,3500,NA,NA,3000,36000
450213432,0,1988,26-34,1490,NA,2500,2300,2500
500141103,1,1994,20-28,NA,0,2000,3500,NA
500374102,1,1968,46-54,4000,4000,NA,NA,NA
500177103,1,1985,29-37,3500,5000,5500,7000,NA
500386101,1,1985,29-37,2300,3500,NA,NA,NA
500187104,1,1974,40-48,3400,NA,4200,3000,5000
500386102,0,1985,29-37,3600,1800,0,2000,2500
520555104,1,1987,27-35,NA,NA,7000,6500,6000
520555102,1,1962,52-60,2050,NA,2700,NA,4000
510616103,0,1983,31-39,4000,1200,1200,2000,3000
510615103,1,1997,17-25,NA,NA,0,6500,5000
520559102,1,1994,20-28,NA,3100,13000,15000,9000
510614103,1,1996,18-26,3200,NA,3500,NA,6000
510212103,0,1986,28-36,2000,NA,1500,NA,NA
510621103,0,1988,26-34,NA,NA,6000,5000,4000
510623103,1,1988,26-34,NA,NA,5000,6000,7000
510625104,1,1996,18-26,NA,5000,8000,6000,6500
510172103,1,1988,26-34,6000,5000,5000,NA,8500
510600101,1,1973,41-49,2000,NA,5000,NA,750
510224103,0,1985,29-37,3000,NA,2100,NA,4700
510167103,0,1987,27-35,NA,NA,1500,5000,3500
510167104,1,1982,32-40,NA,NA,6000,7000,7500
510600103,0,1974,40-48,1400,NA,2000,0,1200
510947102,1,1963,51-59,NA,NA,2000,1750,1400
510208103,1,1980,34-42,2500,NA,3200,4000,4300
520563103,0,1994,20-28,NA,NA,NA,5000,3600
